TITLE,PRICE,LINK
CZ Gems Embellished Statement Ring,₹799,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004456/small/cz-gems-embellished-statement-ring-dcjai23736-ms-20201223-8075-ctexdk.jpg
Zircon Gemstones Embellished Ring,₹399,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/932248/small/zircon-gemstones-embellished-ring-dcjai23056-ms-20191127-26588-8aknd9.jpg
Two Tone Plated Classic Band Ring,₹719,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004570/small/two-tone-plated-classic-band-ring-dcjai23761-ms-20201223-5520-75hgm7.jpg
Single CZ Gemstone Adorned Ring,₹399,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004440/small/single-cz-gemstone-adorned-ring-dcjai23746-ms-20201223-8075-v26pmv.jpg
Five Prong Setting CZ Gemstone Ring,₹499,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004419/small/five-prong-setting-cz-gemstone-ring-dcjai23730-ms-20201223-8075-ii9z7w.jpg
Designer Inspired Brass Band Ring,₹699,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004635/small/designer-inspired-brass-band-ring-dcjai23772-ms-20201223-8075-148psyh.jpg
Cutwork Design Band Ring,₹699,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963063/small/cutwork-design-band-ring-dcjai23650-ms-20200125-3207-66v0jd.jpg
Crown Motif Women's Ring,₹449,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/962948/small/crown-motif-women-s-ring-dcjai23752-ms-20200125-3207-14ofx4t.jpg
Zircon Adorned Brass Crown Ring,₹649,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004668/small/zircon-adorned-brass-crown-ring-dcjai23121-ms-20201223-5520-a89yzo.jpg
Zircon Gemstones Adorned Casual Ring,₹389,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/925416/small/zircon-gemstones-adorned-casual-ring-dcjai23065-ms-20191105-21585-fn0z2r.jpg
Blue Sapphire (Neelam) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹949,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794973/small/rashi-ratna-5-25-ratti-blue-sapphire-ring-rsjai20406-ms-20190404-108183-ywkvj3.jpg
Blue Sapphire (Neelam) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹749,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795011/small/rashi-ratna-3-25-ratti-blue-sapphire-ring-rsjai20405-ms-20190404-12510-197nlzp.jpg
CZ Studded 9 to 5 Ring,₹199,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/746278/small/cz-studded-9-to-5-ring-dcjai21478-ms-20180912-4545-6jfjdt.jpg
Aham Brahmasmi Moksh Inscription Ring,₹269,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004153/small/aham-brahmasmi-moksh-inscription-ring-vmjai43139-ms-20201205-19770-3fvpos.jpg
Zircon Gemstone Adorned Band Ring,₹799,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004609/small/zircon-gemstone-adorned-band-ring-dcjai23126-ms-20201223-8075-1rqvjau.jpg
Cluster Setting Zircon Gems Ring,₹549,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004600/small/cluster-setting-zircon-gems-ring-dcjai23680-ms-20201223-8075-dmetsr.jpg
Zircon Gemstones Adorned Designer Inspired Ring,₹699,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004493/small/zircon-gemstones-adorned-designer-inspired-ring-dcjai23665-ms-20201223-5520-1xukmf7.jpg
Oval Red Gemstones Adorned Ring,₹819,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004477/small/oval-red-gemstones-adorned-ring-dcjai23129-ms-20201223-5520-wprehw.jpg
Gold Tone CZ Gem Embellished Ring,₹409,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963289/small/gold-tone-cz-gem-embellished-ring-dcjai23525-ms-20200125-4810-1xgqf6t.jpg
Princess Cut CZ Gemstone Ring,₹819,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963633/small/princess-cut-cz-gemstone-ring-dcjai23045-ms-20200125-4810-1hm4yc4.jpg
Designer Inspired Brass Ring,₹599,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963561/small/designer-inspired-brass-ring-1-dcjai23663-ms-20200125-4810-10yqdx2.jpg
Yellow Sapphire (Pukhraj) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹949,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795064/small/rashi-ratna-5-25-ratti-yellow-sapphire-ring-rsjai20409-ms-20190404-12510-hb5ldm.jpg
Blue Sapphire (Neelam) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,049",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/821802/small/rashi-ratna-7-25-ratti-blue-sapphire-ring-rsjai20407-ms-20190605-16067-dqejau.jpg
Yellow Sapphire (Pukhraj) 7.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,149",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794933/small/rashi-ratna-7-25-ratti-yellow-sapphire-ring-rsjai20410-ms-20190404-108183-1lihv9y.jpg
Garnet (Gomed) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹749,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794991/small/rashi-ratna-3-25-ratti-garnet-ring-rsjai20399-ms-20190404-12510-1iarm0k.jpg
Pearl (Moti) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹649,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794939/small/rashi-ratna-3-25-ratti-pearl-ring-rsjai20393-ms-20190404-12510-1440h1b.jpg
Moksha Mythology Inspired Ring,₹219,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/821588/small/moksha-mythology-inspired-ring-vmjai40524-ms-20190605-8612-1gjyr5c.jpg
Love Knots Filigree Design Ring,₹319,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/996996/small/love-knots-filigree-design-ring-vmjai42826-ms-20200902-26443-jl7iop.jpg
Crossover Design Brass Ring,₹719,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/998586/small/crossover-design-brass-ring-dcjai23744-ms-20200918-16567-35a9ha.jpg
Emerald (Panna) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,"₹1,049",https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794943/small/rashi-ratna-5-25-ratti-emerald-ring-rsjai20412-ms-20190404-108183-1t7znod.jpg
Emerald (Panna) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹849,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795022/small/rashi-ratna-3-25-ratti-emerald-ring-rsjai20411-ms-20190404-12510-1nvu8hu.jpg
Ruby (Manik) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹849,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794981/small/rashi-ratna-5-25-ratti-ruby-ring-rsjai20397-ms-20190404-12510-1cvbifx.jpg
Trendy Gems Adorned Ring,₹339,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/812642/small/trendy-gems-adorned-ring-dcjai22689-ms-20190522-17570-12bkcf7.jpg
Mandala Floral Finger Ring,₹219,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/866495/small/mandala-floral-finger-ring-vmjai40791-ms-20190723-23450-fjbiaf.jpg
Mandala Tribal Inspired Ring,₹219,https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/866447/small/mandala-tribal-inspired-ring-vmjai40790-ms-20190723-9163-1ajqudk.jpg
