TITLE,PRICE,LINK
CZ Gems Embellished Statement Ring,₹799,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004456/small/cz-gems-embellished-statement-ring-dcjai23736-ms-20201223-8075-ctexdk.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004456/small/cz-gems-embellished-statement-ring-dcjai23736-ms-20201223-8075-ctexdk.jpg"" id=""listing-prd-img1060644724"" class=""width-100-percent product-card-image cursor-pointer"" alt=""CZ Gems Embellished Statement Ring""></picture>"
Zircon Gemstones Embellished Ring,₹399,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/932248/small/zircon-gemstones-embellished-ring-dcjai23056-ms-20191127-26588-8aknd9.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/932248/small/zircon-gemstones-embellished-ring-dcjai23056-ms-20191127-26588-8aknd9.jpg"" id=""listing-prd-img1060637215"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Gemstones Embellished Ring""></picture>"
Two Tone Plated Classic Band Ring,₹719,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004570/small/two-tone-plated-classic-band-ring-dcjai23761-ms-20201223-5520-75hgm7.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004570/small/two-tone-plated-classic-band-ring-dcjai23761-ms-20201223-5520-75hgm7.jpg"" id=""listing-prd-img1060644728"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Two Tone Plated Classic Band Ring""></picture>"
Single CZ Gemstone Adorned Ring,₹399,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004440/small/single-cz-gemstone-adorned-ring-dcjai23746-ms-20201223-8075-v26pmv.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004440/small/single-cz-gemstone-adorned-ring-dcjai23746-ms-20201223-8075-v26pmv.jpg"" id=""listing-prd-img1060644721"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Single CZ Gemstone Adorned Ring""></picture>"
Five Prong Setting CZ Gemstone Ring,₹499,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004419/small/five-prong-setting-cz-gemstone-ring-dcjai23730-ms-20201223-8075-ii9z7w.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004419/small/five-prong-setting-cz-gemstone-ring-dcjai23730-ms-20201223-8075-ii9z7w.jpg"" id=""listing-prd-img1060644715"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Five Prong Setting CZ Gemstone Ring""></picture>"
Designer Inspired Brass Band Ring,₹699,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004635/small/designer-inspired-brass-band-ring-dcjai23772-ms-20201223-8075-148psyh.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004635/small/designer-inspired-brass-band-ring-dcjai23772-ms-20201223-8075-148psyh.jpg"" id=""listing-prd-img1060644623"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Designer Inspired Brass Band Ring""></picture>"
Cutwork Design Band Ring,₹699,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963063/small/cutwork-design-band-ring-dcjai23650-ms-20200125-3207-66v0jd.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963063/small/cutwork-design-band-ring-dcjai23650-ms-20200125-3207-66v0jd.jpg"" id=""listing-prd-img1060642891"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Cutwork Design Band Ring""></picture>"
Crown Motif Women's Ring,₹449,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/962948/small/crown-motif-women-s-ring-dcjai23752-ms-20200125-3207-14ofx4t.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/962948/small/crown-motif-women-s-ring-dcjai23752-ms-20200125-3207-14ofx4t.jpg"" id=""listing-prd-img1060642823"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Crown Motif Women's Ring""></picture>"
Zircon Adorned Brass Crown Ring,₹649,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004668/small/zircon-adorned-brass-crown-ring-dcjai23121-ms-20201223-5520-a89yzo.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004668/small/zircon-adorned-brass-crown-ring-dcjai23121-ms-20201223-5520-a89yzo.jpg"" id=""listing-prd-img1060634645"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Adorned Brass Crown Ring""></picture>"
Zircon Gemstones Adorned Casual Ring,₹389,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/925416/small/zircon-gemstones-adorned-casual-ring-dcjai23065-ms-20191105-21585-fn0z2r.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/925416/small/zircon-gemstones-adorned-casual-ring-dcjai23065-ms-20191105-21585-fn0z2r.jpg"" id=""listing-prd-img1060634624"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Gemstones Adorned Casual Ring""></picture>"
Blue Sapphire (Neelam) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹949,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/794973/small/rashi-ratna-5-25-ratti-blue-sapphire-ring-rsjai20406-ms-20190404-108183-ywkvj3.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/794973/small/rashi-ratna-5-25-ratti-blue-sapphire-ring-rsjai20406-ms-20190404-108183-ywkvj3.jpg"" id=""listing-prd-img1060621553"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Blue Sapphire (Neelam) 5.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
Blue Sapphire (Neelam) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate,₹749,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/795011/small/rashi-ratna-3-25-ratti-blue-sapphire-ring-rsjai20405-ms-20190404-12510-197nlzp.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/795011/small/rashi-ratna-3-25-ratti-blue-sapphire-ring-rsjai20405-ms-20190404-12510-197nlzp.jpg"" id=""listing-prd-img1060621545"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Blue Sapphire (Neelam) 3.25 Ratti Ashtadhatu Rashi Ratna Ring with original Lab Test Certificate""></picture>"
CZ Studded 9 to 5 Ring,₹199,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/746278/small/cz-studded-9-to-5-ring-dcjai21478-ms-20180912-4545-6jfjdt.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/746278/small/cz-studded-9-to-5-ring-dcjai21478-ms-20180912-4545-6jfjdt.jpg"" id=""listing-prd-img1060613797"" class=""width-100-percent product-card-image cursor-pointer"" alt=""CZ Studded 9 to 5 Ring""></picture>"
Aham Brahmasmi Moksh Inscription Ring,₹269,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004153/small/aham-brahmasmi-moksh-inscription-ring-vmjai43139-ms-20201205-19770-3fvpos.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004153/small/aham-brahmasmi-moksh-inscription-ring-vmjai43139-ms-20201205-19770-3fvpos.jpg"" id=""listing-prd-img1060647166"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Aham Brahmasmi Moksh Inscription Ring""></picture>"
Zircon Gemstone Adorned Band Ring,₹799,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004609/small/zircon-gemstone-adorned-band-ring-dcjai23126-ms-20201223-8075-1rqvjau.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004609/small/zircon-gemstone-adorned-band-ring-dcjai23126-ms-20201223-8075-1rqvjau.jpg"" id=""listing-prd-img1060645540"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Gemstone Adorned Band Ring""></picture>"
Cluster Setting Zircon Gems Ring,₹549,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004600/small/cluster-setting-zircon-gems-ring-dcjai23680-ms-20201223-8075-dmetsr.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004600/small/cluster-setting-zircon-gems-ring-dcjai23680-ms-20201223-8075-dmetsr.jpg"" id=""listing-prd-img1060645534"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Cluster Setting Zircon Gems Ring""></picture>"
Zircon Gemstones Adorned Designer Inspired Ring,₹699,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004493/small/zircon-gemstones-adorned-designer-inspired-ring-dcjai23665-ms-20201223-5520-1xukmf7.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004493/small/zircon-gemstones-adorned-designer-inspired-ring-dcjai23665-ms-20201223-5520-1xukmf7.jpg"" id=""listing-prd-img1060644778"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Zircon Gemstones Adorned Designer Inspired Ring""></picture>"
Oval Red Gemstones Adorned Ring,₹819,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/1004477/small/oval-red-gemstones-adorned-ring-dcjai23129-ms-20201223-5520-wprehw.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/1004477/small/oval-red-gemstones-adorned-ring-dcjai23129-ms-20201223-5520-wprehw.jpg"" id=""listing-prd-img1060644745"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Oval Red Gemstones Adorned Ring""></picture>"
Gold Tone CZ Gem Embellished Ring,₹409,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963289/small/gold-tone-cz-gem-embellished-ring-dcjai23525-ms-20200125-4810-1xgqf6t.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963289/small/gold-tone-cz-gem-embellished-ring-dcjai23525-ms-20200125-4810-1xgqf6t.jpg"" id=""listing-prd-img1060642818"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Gold Tone CZ Gem Embellished Ring""></picture>"
Princess Cut CZ Gemstone Ring,₹819,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963633/small/princess-cut-cz-gemstone-ring-dcjai23045-ms-20200125-4810-1hm4yc4.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963633/small/princess-cut-cz-gemstone-ring-dcjai23045-ms-20200125-4810-1hm4yc4.jpg"" id=""listing-prd-img1060642606"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Princess Cut CZ Gemstone Ring""></picture>"
Designer Inspired Brass Ring,₹599,"<picture><source srcset=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(15360):format(webp)/i/963561/small/designer-inspired-brass-ring-1-dcjai23663-ms-20200125-4810-10yqdx2.jpg"" type=""image/webp""><img src=""https://media.voylla.com/fit-in/300x400/filters:max_bytes(18432):format(jpg)/i/963561/small/designer-inspired-brass-ring-1-dcjai23663-ms-20200125-4810-10yqdx2.jpg"" id=""listing-prd-img1060641175"" class=""width-100-percent product-card-image cursor-pointer"" alt=""Designer Inspired Brass Ring""></picture>"
